id,label
0,4
1,1
2,2
3,8
4,9
5,2
6,4
7,8
8,2
9,4
10,5
11,1
12,1
13,3
14,0
15,1
16,8
17,6
18,4
19,6
20,1
21,0
22,8
23,1
24,7
25,9
26,4
27,2
28,0
29,2
30,4
31,0
32,6
33,4
34,5
35,5
36,8
37,7
38,6
39,2
40,7
41,8
42,2
43,0
44,1
45,9
46,8
47,2
48,2
49,2
50,4
51,0
52,4
53,4
54,5
55,7
56,1
57,4
58,2
59,2
60,8
61,4
62,7
63,8
64,7
65,1
66,2
67,0
68,2
69,1
70,8
71,4
72,8
73,4
74,7
75,4
76,8
77,6
78,2
79,6
80,4
81,4
82,6
83,5
84,7
85,4
86,0
87,6
88,6
89,5
90,8
91,8
92,7
93,7
94,3
95,1
96,9
97,9
98,1
99,7
100,8
101,7
102,4
103,4
104,1
105,0
106,2
107,2
108,3
109,3
110,5
111,4
112,3
113,7
114,5
115,6
116,6
117,7
118,9
119,9
120,4
121,5
122,8
123,4
124,7
125,7
126,2
127,7
128,4
129,6
130,6
131,7
132,6
133,0
134,7
135,6
136,6
137,4
138,7
139,4
140,8
141,4
142,4
143,7
144,6
145,7
146,8
147,2
148,8
149,7
150,2
151,9
152,3
153,9
154,9
155,3
156,3
157,1
158,2
159,0
160,0
161,6
162,2
163,7
164,2
165,0
166,2
167,8
168,3
169,2
170,0
171,7
172,1
173,5
174,6
175,6
176,7
177,8
178,2
179,7
180,8
181,2
182,1
183,3
184,9
185,0
186,5
187,3
188,3
189,7
190,8
191,1
192,2
193,4
194,5
195,9
196,2
197,0
198,6
199,4
200,6
201,6
202,3
203,8
204,2
205,6
206,7
207,6
208,5
209,4
210,9
211,2
212,6
213,0
214,4
215,3
216,3
217,2
218,7
219,4
220,8
221,7
222,3
223,6
224,7
225,7
226,1
227,7
228,9
229,5
230,2
231,8
232,8
233,8
234,5
235,3
236,2
237,4
238,1
239,2
240,6
241,8
242,4
243,9
244,4
245,1
246,1
247,8
248,5
249,3
250,2
251,3
252,0
253,4
254,5
255,5
256,7
257,4
258,2
259,3
260,9
261,2
262,6
263,2
264,2
265,7
266,4
267,1
268,1
269,7
270,6
271,4
272,4
273,3
274,1
275,3
276,7
277,2
278,8
279,3
280,9
281,4
282,1
283,0
284,2
285,5
286,7
287,4
288,5
289,4
290,2
291,1
292,8
293,1
294,1
295,2
296,3
297,7
298,8
299,7
300,7
301,7
302,0
303,6
304,6
305,5
306,8
307,6
308,8
309,2
310,2
311,7
312,7
313,8
314,5
315,7
316,4
317,7
318,2
319,2
320,7
321,0
322,7
323,3
324,4
325,2
326,9
327,3
328,4
329,4
330,3
331,3
332,8
333,2
334,1
335,9
336,5
337,8
338,2
339,2
340,0
341,7
342,8
343,6
344,4
345,3
346,4
347,1
348,4
349,5
350,2
351,1
352,0
353,4
354,4
355,9
356,4
357,4
358,4
359,7
360,8
361,4
362,4
363,6
364,6
365,8
366,4
367,2
368,4
369,6
370,6
371,8
372,6
373,7
374,4
375,4
376,1
377,3
378,4
379,6
380,5
381,4
382,9
383,9
384,3
385,4
386,4
387,6
388,9
389,4
390,8
391,5
392,3
393,2
394,4
395,1
396,5
397,4
398,3
399,2
400,2
401,6
402,4
403,4
404,4
405,4
406,7
407,0
408,6
409,5
410,4
411,1
412,6
413,0
414,5
415,3
416,2
417,6
418,2
419,8
420,7
421,3
422,4
423,7
424,6
425,0
426,4
427,8
428,1
429,9
430,7
431,4
432,7
433,7
434,5
435,4
436,4
437,9
438,6
439,4
440,6
441,8
442,2
443,2
444,5
445,4
446,4
447,4
448,2
449,4
450,5
451,8
452,2
453,4
454,4
455,1
456,1
457,3
458,8
459,5
460,4
461,3
462,4
463,4
464,4
465,4
466,3
467,6
468,3
469,1
470,8
471,0
472,1
473,4
474,2
475,7
476,0
477,7
478,6
479,0
480,1
481,7
482,8
483,4
484,3
485,8
486,8
487,2
488,2
489,5
490,3
491,2
492,7
493,5
494,7
495,2
496,6
497,8
498,7
499,1
500,0
501,4
502,7
503,2
504,7
505,4
506,8
507,6
508,7
509,5
510,5
511,4
512,5
513,8
514,0
515,4
516,3
517,1
518,4
519,8
520,9
521,9
522,8
523,0
524,7
525,4
526,7
527,8
528,4
529,3
530,6
531,8
532,5
533,7
